State,Grade,Height (ft),Height (in),Shoe Size,Shoe Gender
HI,7,5,4,8,w
MN,8,5,11,11.5,m
HI,7,5,0,6.5,w
HI,8,5,11,12.5,m
USVI,8,5,8,11,m
CA,7,5,9,10.5,m
TX,8,6,3,13,m
HI,8,5,5,8,m
TX,8,5,7,8,m
PA,8,5,5,10.5,m
TX,7,5,2,10,m
PA,7,5,0,7.5,w
TX,7,5,0,6,w
USVI,7,5,2,9,w
NJ,7,5,9,10,m
LA,8,5,5,10,w
HI,7,5,0,6.5,w
USVI,8,5,10,10,m
TX,8,5,5,9,w
HI,8,5,0,6,w
HI,8,5,3,7,m
TX,7,5,1,9,w
TX,7,5,6,11.5,m
NY,8,5,3,8,w
TX,8,5,3,7.5,w
WA,7,5,1,9,w
HI,8,5,3,7,w
TX,7,4,10,4.5,m
TX,8,5,6,7,w
NJ,7,5,1,6.5,w
TX,7,5,10,10,w
NJ,8,5,9,10,m
HI,8,5,10,11,m
